innings,battingTeam,bowlingTeam,striker,bowler,overs,ballNumber,runsOffBat,extras,totalRunsOffBall,isWicket,cumRuns,totalWickets,strikerFinalScore,batterOut
1,IND,PAK,Rohit,Shaheen Afridi,0.1,1,2,0,2,0,2,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.2,2,0,0,0,0,2,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.3,3,6,0,6,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.4,4,0,0,0,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.5,5,0,0,0,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.6,6,0,0,0,0,8,0,13(12),
1,IND,PAK,Kohli,Naseem Shah,1.1,7,4,0,4,0,12,0,4(3),
1,IND,PAK,Kohli,Naseem Shah,1.2,8,0,0,0,0,12,0,4(3),
1,IND,PAK,Kohli,Naseem Shah,1.3,9,0,0,0,1,12,1,4(3),Kohli
1,IND,PAK,Pant,Naseem Shah,1.4,10,0,0,0,0,12,1,42(31),
1,IND,PAK,Pant,Naseem Shah,1.5,11,0,2,2,0,14,1,42(31),
1,IND,PAK,Rohit,Naseem Shah,1.5,12,4,0,4,0,18,1,13(12),
1,IND,PAK,Rohit,Naseem Shah,1.6,13,1,0,1,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.1,14,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.2,15,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.3,16,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.4,17,0,0,0,1,19,2,13(12),Rohit
1,IND,PAK,Axar,Shaheen Afridi,2.5,18,0,1,1,0,20,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,2.5,19,0,0,0,0,20,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,2.6,20,0,0,0,0,20,2,20(18),
1,IND,PAK,Pant,Amir,3.1,21,0,0,0,0,20,2,42(31),
1,IND,PAK,Pant,Amir,3.2,22,3,0,3,0,23,2,42(31),
1,IND,PAK,Axar,Amir,3.3,23,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.4,24,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.5,25,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.6,26,1,0,1,0,24,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.1,27,4,0,4,0,28,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.2,28,6,0,6,0,34,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.3,29,1,0,1,0,35,2,20(18),
1,IND,PAK,Pant,Shaheen Afridi,4.4,30,0,0,0,0,35,2,42(31),
1,IND,PAK,Pant,Shaheen Afridi,4.5,31,1,0,1,0,36,2,42(31),
1,IND,PAK,Axar,Shaheen Afridi,4.6,32,2,0,2,0,38,2,20(18),
1,IND,PAK,Pant,Amir,5.1,33,4,0,4,0,42,2,42(31),
1,IND,PAK,Pant,Amir,5.2,34,3,0,3,0,45,2,42(31),
1,IND,PAK,Axar,Amir,5.3,35,0,0,0,0,45,2,20(18),
1,IND,PAK,Axar,Amir,5.4,36,1,0,1,0,46,2,20(18),
1,IND,PAK,Pant,Amir,5.5,37,4,0,4,0,50,2,42(31),
1,IND,PAK,Pant,Amir,5.6,38,0,0,0,0,50,2,42(31),
1,IND,PAK,Axar,Iftikhar Ahmed,6.1,39,0,0,0,0,50,2,20(18),
1,IND,PAK,Axar,Iftikhar Ahmed,6.2,40,1,0,1,0,51,2,20(18),
1,IND,PAK,Pant,Iftikhar Ahmed,6.3,41,0,0,0,0,51,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.4,42,0,0,0,0,51,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.5,43,0,1,1,0,52,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.5,44,1,0,1,0,53,2,42(31),
1,IND,PAK,Axar,Iftikhar Ahmed,6.6,45,4,0,4,0,57,2,20(18),
1,IND,PAK,Pant,Naseem Shah,7.1,46,1,0,1,0,58,2,42(31),
1,IND,PAK,Axar,Naseem Shah,7.2,47,0,0,0,0,58,2,20(18),
1,IND,PAK,Axar,Naseem Shah,7.3,48,0,0,0,0,58,2,20(18),
1,IND,PAK,Axar,Naseem Shah,7.4,49,0,0,0,1,58,3,20(18),Axar
1,IND,PAK,Suryakumar Yadav,Naseem Shah,7.5,50,0,0,0,0,58,3,7(8),
1,IND,PAK,Suryakumar Yadav,Naseem Shah,7.6,51,4,0,4,0,62,3,7(8),
1,IND,PAK,Pant,Imad Wasim,8.1,52,0,1,1,0,63,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.1,53,1,0,1,0,64,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,8.2,54,1,0,1,0,65,3,7(8),
1,IND,PAK,Pant,Imad Wasim,8.3,55,0,0,0,0,65,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.4,56,0,0,0,0,65,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.5,57,2,0,2,0,67,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.6,58,1,0,1,0,68,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.1,59,0,0,0,0,68,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.2,60,4,0,4,0,72,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.3,61,4,0,4,0,76,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.4,62,4,0,4,0,80,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.5,63,1,0,1,0,81,3,42(31),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,9.6,64,0,0,0,0,81,3,7(8),
1,IND,PAK,Pant,Imad Wasim,10.1,65,1,0,1,0,82,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,10.2,66,1,0,1,0,83,3,7(8),
1,IND,PAK,Pant,Imad Wasim,10.3,67,0,0,0,0,83,3,42(31),
1,IND,PAK,Pant,Imad Wasim,10.4,68,4,0,4,0,87,3,42(31),
1,IND,PAK,Pant,Imad Wasim,10.5,69,1,0,1,0,88,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,10.6,70,1,0,1,0,89,3,7(8),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,11.1,71,0,0,0,0,89,3,7(8),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,11.2,72,0,0,0,1,89,4,7(8),Suryakumar Yadav
1,IND,PAK,Shivam Dube,Haris Rauf,11.3,73,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.4,74,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.5,75,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.6,76,1,0,1,0,90,4,3(9),
1,IND,PAK,Shivam Dube,Imad Wasim,12.1,77,1,0,1,0,91,4,3(9),
1,IND,PAK,Pant,Imad Wasim,12.2,78,1,0,1,0,92,4,42(31),
1,IND,PAK,Shivam Dube,Imad Wasim,12.3,79,0,0,0,0,92,4,3(9),
1,IND,PAK,Shivam Dube,Imad Wasim,12.4,80,1,0,1,0,93,4,3(9),
1,IND,PAK,Pant,Imad Wasim,12.5,81,0,1,1,0,94,4,42(31),
1,IND,PAK,Shivam Dube,Imad Wasim,12.6,82,0,0,0,0,94,4,3(9),
1,IND,PAK,Pant,Naseem Shah,13.1,83,1,0,1,0,95,4,42(31),
1,IND,PAK,Shivam Dube,Naseem Shah,13.2,84,0,0,0,1,95,5,3(9),Shivam Dube
1,IND,PAK,Hardik Pandya,Naseem Shah,13.3,85,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.4,86,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.5,87,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.6,88,0,1,1,0,96,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.6,89,0,0,0,0,96,5,7(12),
1,IND,PAK,Pant,Amir,14.1,90,0,0,0,1,96,6,42(31),Pant
