innings,battingTeam,bowlingTeam,striker,bowler,overs,ballNumber,runsOffBat,extras,totalRunsOffBall,isWicket,cumRuns,totalWickets,strikerFinalScore,batterOut
1,USA,IND,S Jahangir,Arshdeep Singh,0.1,1,0,0,0,1,0,1,0,S Jahangir
1,USA,IND,Gous,Arshdeep Singh,0.2,2,0,0,0,0,0,1,2(5),
1,USA,IND,Gous,Arshdeep Singh,0.3,3,0,0,0,0,0,1,2(5),
1,USA,IND,Gous,Arshdeep Singh,0.4,4,0,1,1,0,1,1,2(5),
1,USA,IND,Gous,Arshdeep Singh,0.4,5,2,0,2,0,3,1,2(5),
1,USA,IND,Gous,Arshdeep Singh,0.5,6,0,0,0,0,3,1,2(5),
1,USA,IND,Gous,Arshdeep Singh,0.6,7,0,0,0,1,3,2,2(5),Gous
1,USA,IND,Steven Taylor,Siraj,1.1,8,1,0,1,0,4,2,24(30),
1,USA,IND,Aaron Jones,Siraj,1.2,9,0,0,0,0,4,2,11(22),
1,USA,IND,Aaron Jones,Siraj,1.3,10,1,0,1,0,5,2,11(22),
1,USA,IND,Steven Taylor,Siraj,1.4,11,0,0,0,0,5,2,24(30),
1,USA,IND,Steven Taylor,Siraj,1.5,12,0,0,0,0,5,2,24(30),
1,USA,IND,Steven Taylor,Siraj,1.6,13,2,0,2,0,7,2,24(30),
1,USA,IND,Aaron Jones,Arshdeep Singh,2.1,14,0,0,0,0,7,2,11(22),
1,USA,IND,Aaron Jones,Arshdeep Singh,2.2,15,0,0,0,0,7,2,11(22),
1,USA,IND,Aaron Jones,Arshdeep Singh,2.3,16,1,0,1,0,8,2,11(22),
1,USA,IND,Steven Taylor,Arshdeep Singh,2.4,17,0,0,0,0,8,2,24(30),
1,USA,IND,Steven Taylor,Arshdeep Singh,2.5,18,0,0,0,0,8,2,24(30),
1,USA,IND,Steven Taylor,Arshdeep Singh,2.6,19,0,0,0,0,8,2,24(30),
1,USA,IND,Aaron Jones,Siraj,3.1,20,0,0,0,0,8,2,11(22),
1,USA,IND,Aaron Jones,Siraj,3.2,21,2,0,2,0,10,2,11(22),
1,USA,IND,Aaron Jones,Siraj,3.3,22,0,0,0,0,10,2,11(22),
1,USA,IND,Aaron Jones,Siraj,3.4,23,0,0,0,0,10,2,11(22),
1,USA,IND,Aaron Jones,Siraj,3.5,24,0,0,0,0,10,2,11(22),
1,USA,IND,Aaron Jones,Siraj,3.6,25,6,0,6,0,16,2,11(22),
1,USA,IND,Steven Taylor,Bumrah,4.1,26,1,0,1,0,17,2,24(30),
1,USA,IND,Aaron Jones,Bumrah,4.2,27,0,0,0,0,17,2,11(22),
1,USA,IND,Aaron Jones,Bumrah,4.3,28,0,0,0,0,17,2,11(22),
1,USA,IND,Aaron Jones,Bumrah,4.4,29,0,0,0,0,17,2,11(22),
1,USA,IND,Aaron Jones,Bumrah,4.5,30,0,0,0,0,17,2,11(22),
1,USA,IND,Aaron Jones,Bumrah,4.6,31,0,0,0,0,17,2,11(22),
1,USA,IND,Steven Taylor,Hardik Pandya,5.1,32,0,0,0,0,17,2,24(30),
1,USA,IND,Steven Taylor,Hardik Pandya,5.2,33,0,0,0,0,17,2,24(30),
1,USA,IND,Steven Taylor,Hardik Pandya,5.3,34,1,0,1,0,18,2,24(30),
1,USA,IND,Aaron Jones,Hardik Pandya,5.4,35,0,0,0,0,18,2,11(22),
1,USA,IND,Aaron Jones,Hardik Pandya,5.5,36,0,0,0,0,18,2,11(22),
1,USA,IND,Aaron Jones,Hardik Pandya,5.6,37,0,0,0,0,18,2,11(22),
1,USA,IND,Steven Taylor,Bumrah,6.1,38,0,0,0,0,18,2,24(30),
1,USA,IND,Steven Taylor,Bumrah,6.2,39,1,0,1,0,19,2,24(30),
1,USA,IND,Aaron Jones,Bumrah,6.3,40,1,0,1,0,20,2,11(22),
1,USA,IND,Steven Taylor,Bumrah,6.4,41,0,0,0,0,20,2,24(30),
1,USA,IND,Steven Taylor,Bumrah,6.5,42,0,5,5,0,25,2,24(30),
1,USA,IND,Steven Taylor,Bumrah,6.5,43,0,0,0,0,25,2,24(30),
1,USA,IND,Steven Taylor,Bumrah,6.6,44,0,0,0,0,25,2,24(30),
1,USA,IND,Aaron Jones,Hardik Pandya,7.1,45,0,0,0,0,25,2,11(22),
1,USA,IND,Aaron Jones,Hardik Pandya,7.2,46,0,0,0,1,25,3,11(22),Aaron Jones
1,USA,IND,Nitish Kumar,Hardik Pandya,7.3,47,0,0,0,0,25,3,0,
1,USA,IND,Nitish Kumar,Hardik Pandya,7.4,48,1,0,1,0,26,3,0,
1,USA,IND,Steven Taylor,Hardik Pandya,7.5,49,0,0,0,0,26,3,24(30),
1,USA,IND,Steven Taylor,Hardik Pandya,7.6,50,0,0,0,0,26,3,24(30),
1,USA,IND,Nitish Kumar,Shivam Dube,8.1,51,4,0,4,0,30,3,0,
1,USA,IND,Nitish Kumar,Shivam Dube,8.2,52,1,0,1,0,31,3,0,
1,USA,IND,Steven Taylor,Shivam Dube,8.3,53,0,0,0,0,31,3,24(30),
1,USA,IND,Steven Taylor,Shivam Dube,8.4,54,0,0,0,0,31,3,24(30),
1,USA,IND,Steven Taylor,Shivam Dube,8.5,55,6,0,6,0,37,3,24(30),
1,USA,IND,Steven Taylor,Shivam Dube,8.6,56,0,0,0,0,37,3,24(30),
1,USA,IND,Nitish Kumar,Axar,9.1,57,0,0,0,0,37,3,0,
1,USA,IND,Nitish Kumar,Axar,9.2,58,1,0,1,0,38,3,0,
