innings,battingTeam,bowlingTeam,striker,bowler,overs,ballNumber,runsOffBat,extras,totalRunsOffBall,isWicket,cumRuns,totalWickets,strikerFinalScore,batterOut
1,IRE,IND,Balbirnie,Arshdeep Singh,0.1,1,1,0,1,0,1,0,5(10),
1,IRE,IND,Stirling,Arshdeep Singh,0.2,2,2,0,2,0,3,0,2(6),
1,IRE,IND,Stirling,Arshdeep Singh,0.3,3,0,0,0,0,3,0,2(6),
1,IRE,IND,Stirling,Arshdeep Singh,0.4,4,0,0,0,0,3,0,2(6),
1,IRE,IND,Stirling,Arshdeep Singh,0.5,5,0,0,0,0,3,0,2(6),
1,IRE,IND,Stirling,Arshdeep Singh,0.6,6,0,0,0,0,3,0,2(6),
1,IRE,IND,Balbirnie,Siraj,1.1,7,0,0,0,0,3,0,5(10),
1,IRE,IND,Balbirnie,Siraj,1.2,8,0,0,0,0,3,0,5(10),
1,IRE,IND,Balbirnie,Siraj,1.3,9,0,0,0,0,3,0,5(10),
1,IRE,IND,Balbirnie,Siraj,1.4,10,0,0,0,0,3,0,5(10),
1,IRE,IND,Balbirnie,Siraj,1.5,11,4,0,4,0,7,0,5(10),
1,IRE,IND,Balbirnie,Siraj,1.6,12,0,0,0,0,7,0,5(10),
1,IRE,IND,Stirling,Arshdeep Singh,2.1,13,0,0,0,1,7,1,2(6),Stirling
1,IRE,IND,Tucker,Arshdeep Singh,2.2,14,0,0,0,0,7,1,10(13),
1,IRE,IND,Tucker,Arshdeep Singh,2.3,15,1,0,1,0,8,1,10(13),
1,IRE,IND,Balbirnie,Arshdeep Singh,2.4,16,0,0,0,0,8,1,5(10),
1,IRE,IND,Balbirnie,Arshdeep Singh,2.5,17,0,1,1,0,9,1,5(10),
1,IRE,IND,Balbirnie,Arshdeep Singh,2.5,18,0,0,0,0,9,1,5(10),
1,IRE,IND,Balbirnie,Arshdeep Singh,2.6,19,0,0,0,1,9,2,5(10),Balbirnie
1,IRE,IND,Tucker,Siraj,3.1,20,0,0,0,0,9,2,10(13),
1,IRE,IND,Tucker,Siraj,3.2,21,0,0,0,0,9,2,10(13),
1,IRE,IND,Tucker,Siraj,3.3,22,0,0,0,0,9,2,10(13),
1,IRE,IND,Tucker,Siraj,3.4,23,4,0,4,0,13,2,10(13),
1,IRE,IND,Tucker,Siraj,3.5,24,0,0,0,0,13,2,10(13),
1,IRE,IND,Tucker,Siraj,3.6,25,0,0,0,0,13,2,10(13),
1,IRE,IND,Tector,Arshdeep Singh,4.1,26,0,0,0,0,13,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.2,27,0,5,5,0,18,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.2,28,0,0,0,0,18,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.3,29,0,1,1,0,19,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.3,30,0,0,0,0,19,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.4,31,0,1,1,0,20,2,4(16),
1,IRE,IND,Tector,Arshdeep Singh,4.4,32,1,0,1,0,21,2,4(16),
1,IRE,IND,Tucker,Arshdeep Singh,4.5,33,0,1,1,0,22,2,10(13),
1,IRE,IND,Tucker,Arshdeep Singh,4.5,34,0,0,0,0,22,2,10(13),
1,IRE,IND,Tucker,Arshdeep Singh,4.6,35,4,0,4,0,26,2,10(13),
1,IRE,IND,Tector,Bumrah,5.1,36,0,0,0,0,26,2,4(16),
1,IRE,IND,Tector,Bumrah,5.2,37,0,0,0,0,26,2,4(16),
1,IRE,IND,Tector,Bumrah,5.3,38,0,0,0,0,26,2,4(16),
1,IRE,IND,Tector,Bumrah,5.4,39,0,0,0,0,26,2,4(16),
1,IRE,IND,Tector,Bumrah,5.5,40,0,0,0,0,26,2,4(16),
1,IRE,IND,Tector,Bumrah,5.6,41,0,0,0,0,26,2,4(16),
1,IRE,IND,Tucker,Hardik Pandya,6.1,42,0,0,0,0,26,2,10(13),
1,IRE,IND,Tucker,Hardik Pandya,6.2,43,1,0,1,0,27,2,10(13),
1,IRE,IND,Tector,Hardik Pandya,6.3,44,0,0,0,0,27,2,4(16),
1,IRE,IND,Tector,Hardik Pandya,6.4,45,0,1,1,0,28,2,4(16),
1,IRE,IND,Tucker,Hardik Pandya,6.5,46,0,0,0,1,28,3,10(13),Tucker
1,IRE,IND,Campher,Hardik Pandya,6.6,47,4,0,4,0,32,3,12(8),
1,IRE,IND,Tector,Bumrah,7.1,48,1,0,1,0,33,3,4(16),
1,IRE,IND,Campher,Bumrah,7.2,49,0,0,0,0,33,3,12(8),
1,IRE,IND,Campher,Bumrah,7.3,50,1,0,1,0,34,3,12(8),
1,IRE,IND,Tector,Bumrah,7.4,51,0,0,0,0,34,3,4(16),
1,IRE,IND,Tector,Bumrah,7.5,52,2,0,2,0,36,3,4(16),
1,IRE,IND,Tector,Bumrah,7.6,53,0,0,0,1,36,4,4(16),Tector
1,IRE,IND,Campher,Hardik Pandya,8.1,54,6,0,6,0,42,4,12(8),
1,IRE,IND,Campher,Hardik Pandya,8.2,55,1,0,1,0,43,4,12(8),
1,IRE,IND,Dockrell,Hardik Pandya,8.3,56,1,0,1,0,44,4,3(5),
1,IRE,IND,Campher,Hardik Pandya,8.4,57,0,0,0,0,44,4,12(8),
1,IRE,IND,Campher,Hardik Pandya,8.5,58,0,0,0,0,44,4,12(8),
1,IRE,IND,Campher,Hardik Pandya,8.6,59,0,0,0,1,44,5,12(8),Campher
1,IRE,IND,Dockrell,Siraj,9.1,60,0,0,0,0,44,5,3(5),
1,IRE,IND,Dockrell,Siraj,9.2,61,2,0,2,0,46,5,3(5),
1,IRE,IND,Dockrell,Siraj,9.3,62,0,0,0,0,46,5,3(5),
1,IRE,IND,Dockrell,Siraj,9.4,63,0,0,0,1,46,6,3(5),Dockrell
1,IRE,IND,Mark Adair,Siraj,9.5,64,3,0,3,0,49,6,3(2),
1,IRE,IND,Delany,Siraj,9.6,65,0,0,0,0,49,6,26(14),
1,IRE,IND,Mark Adair,Hardik Pandya,10.1,66,0,0,0,1,49,7,3(2),Mark Adair
1,IRE,IND,McCarthy,Hardik Pandya,10.2,67,0,0,0,0,49,7,0(6),
1,IRE,IND,McCarthy,Hardik Pandya,10.3,68,0,0,0,0,49,7,0(6),
1,IRE,IND,McCarthy,Hardik Pandya,10.4,69,0,0,0,0,49,7,0(6),
1,IRE,IND,McCarthy,Hardik Pandya,10.5,70,0,0,0,0,49,7,0(6),
1,IRE,IND,McCarthy,Hardik Pandya,10.6,71,0,0,0,0,49,7,0(6),
1,IRE,IND,Delany,Axar,11.1,72,1,0,1,0,50,7,26(14),
1,IRE,IND,McCarthy,Axar,11.2,73,0,0,0,1,50,8,0(6),McCarthy
1,IRE,IND,Joshua Little,Axar,11.3,74,1,0,1,0,51,8,14(13),
1,IRE,IND,Delany,Axar,11.4,75,0,0,0,0,51,8,26(14),
1,IRE,IND,Delany,Axar,11.5,76,1,0,1,0,52,8,26(14),
1,IRE,IND,Joshua Little,Axar,11.6,77,0,0,0,0,52,8,14(13),
1,IRE,IND,Delany,Hardik Pandya,12.1,78,6,0,6,0,58,8,26(14),
1,IRE,IND,Delany,Hardik Pandya,12.2,79,1,0,1,0,59,8,26(14),
1,IRE,IND,Joshua Little,Hardik Pandya,12.3,80,4,0,4,0,63,8,14(13),
1,IRE,IND,Joshua Little,Hardik Pandya,12.4,81,2,0,2,0,65,8,14(13),
1,IRE,IND,Joshua Little,Hardik Pandya,12.5,82,0,0,0,0,65,8,14(13),
1,IRE,IND,Joshua Little,Hardik Pandya,12.6,83,1,0,1,0,66,8,14(13),
1,IRE,IND,Joshua Little,Jadeja,13.1,84,0,0,0,0,66,8,14(13),
1,IRE,IND,Joshua Little,Jadeja,13.2,85,4,0,4,0,70,8,14(13),
1,IRE,IND,Joshua Little,Jadeja,13.3,86,0,0,0,0,70,8,14(13),
1,IRE,IND,Joshua Little,Jadeja,13.4,87,1,0,1,0,71,8,14(13),
1,IRE,IND,Delany,Jadeja,13.5,88,1,0,1,0,72,8,26(14),
1,IRE,IND,Joshua Little,Jadeja,13.6,89,1,0,1,0,73,8,14(13),
1,IRE,IND,Joshua Little,Bumrah,14.1,90,0,4,4,0,77,8,14(13),
1,IRE,IND,Joshua Little,Bumrah,14.2,91,0,0,0,1,77,9,14(13),Joshua Little
1,IRE,IND,Benjamin White,Bumrah,14.3,92,1,0,1,0,78,9,2(4),
1,IRE,IND,Delany,Bumrah,14.4,93,0,0,0,0,78,9,26(14),
1,IRE,IND,Delany,Bumrah,14.5,94,1,0,1,0,79,9,26(14),
1,IRE,IND,Benjamin White,Bumrah,14.6,95,0,0,0,0,79,9,2(4),
1,IRE,IND,Delany,Arshdeep Singh,15.1,96,4,0,4,0,83,9,26(14),
1,IRE,IND,Delany,Arshdeep Singh,15.2,97,0,0,0,0,83,9,26(14),
1,IRE,IND,Delany,Arshdeep Singh,15.3,98,6,0,6,0,89,9,26(14),
1,IRE,IND,Delany,Arshdeep Singh,15.4,99,4,0,4,0,93,9,26(14),
1,IRE,IND,Delany,Arshdeep Singh,15.5,100,1,0,1,0,94,9,26(14),
1,IRE,IND,Benjamin White,Arshdeep Singh,15.6,101,0,1,1,0,95,9,2(4),
1,IRE,IND,delany,Arshdeep Singh,15.6,102,1,0,1,1,96,10,26(14),delany
2,IND,IRE,Rohit,Mark Adair,0.1,1,0,1,1,0,1,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.1,2,0,0,0,0,1,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.2,3,0,0,0,0,1,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.3,4,0,0,0,0,1,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.4,5,2,0,2,0,3,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.5,6,0,0,0,0,3,0,52(37),
2,IND,IRE,Rohit,Mark Adair,0.6,7,4,0,4,0,7,0,52(37),
2,IND,IRE,Kohli,Joshua Little,1.1,8,1,0,1,0,8,0,1(5),
